"Predicted_Units_Sold","Predicted_Total_Revenue","Predicted_Total_Profit"
3694.4489871182,3827.54848468628,3827.54848468628
9048.62623562689,9118.67442596836,9118.67442596836
3675.15800616584,3804.69360518119,3804.69360518119
6280.40462950853,6384.82922560586,6384.82922560586
5889.90292199995,5999.58165376965,5999.58165376965
8837.42068328627,8901.64387901069,8901.64387901069
3682.62754267616,3823.40545820754,3823.40545820754
5144.28133856162,5247.00408577286,5247.00408577286
5264.89140258923,5373.49908193515,5373.49908193515
8517.73711674383,8602.07360475119,8602.07360475119
5999.3806868829,6102.6058225329,6102.6058225329
5905.48894726191,6009.56986390644,6009.56986390644
5561.00531796861,5677.66701922372,5677.66701922372
9372.4393507223,9456.67191074558,9456.67191074558
3757.55169353634,3874.83953588047,3874.83953588047
6171.1665698041,6272.89435288079,6272.89435288079
4306.1094544239,4434.0066745139,4434.0066745139
10311.1432632891,10383.960260721,10383.960260721
4152.90464639444,4285.63506327279,4285.63506327279
3985.44374713759,4099.27284788882,4099.27284788882
5378.17242370117,5505.8225988416,5505.8225988416
5369.00676769175,5480.21616850969,5480.21616850969
3556.85601311922,3683.24559010933,3683.24559010933
4258.2455184197,4372.90154792804,4372.90154792804
5850.42361117097,5965.28125639804,5965.28125639804
3267.22882138874,3400.07359512281,3400.07359512281
3230.47538417897,3371.72624695481,3371.72624695481
3664.62472022543,3801.6642623892,3801.6642623892
7265.49426618466,7365.3332696192,7365.3332696192
3258.4901352072,3401.43329776432,3401.43329776432
3295.36661709357,3438.96451999517,3438.96451999517
5736.97516989849,5847.70288006675,5847.70288006675
3622.16640607219,3766.26990621978,3766.26990621978
4310.31807235692,4430.47916838396,4430.47916838396
5716.72297247676,5826.30722599871,5826.30722599871
3806.00293919031,3940.02842591847,3940.02842591847
5057.11400246431,5163.7804691456,5163.7804691456
4037.75028943237,4154.65038117121,4154.65038117121
4038.1117469225,4173.35720855982,4173.35720855982
4603.504616285,4735.53234214998,4735.53234214998
3964.98309388855,4090.45009841765,4090.45009841765
4382.65030243744,4492.23533438328,4492.23533438328
3643.44756994711,3773.94412546048,3773.94412546048
10537.8683738772,10584.4230848274,10584.4230848274
6448.67964227997,6551.40883471627,6551.40883471627
3349.83374984214,3496.25455308735,3496.25455308735
3263.4065262791,3399.18441821969,3399.18441821969
10553.4225852808,10605.9163854364,10605.9163854364
5643.18088811184,5752.39603677449,5752.39603677449
3831.36409467657,3965.77133608858,3965.77133608858
3270.39902465383,3414.73569172715,3414.73569172715
5036.01393415367,5149.32276280735,5149.32276280735
4818.18855659148,4925.31483026826,4925.31483026826
4071.08375917451,4190.29401863064,4190.29401863064
3883.60492935103,4005.00551658293,4005.00551658293
8077.12941883983,8152.4102689491,8152.4102689491
3825.04226706785,3949.9409145652,3949.9409145652
3310.86200863729,3446.64573331918,3446.64573331918
3613.02965825368,3752.45358489092,3752.45358489092
4878.49842709831,5002.26745371197,5002.26745371197
9977.46048200979,10029.2469001856,10029.2469001856
3809.6947191435,3937.24289375794,3937.24289375794
4974.90127072146,5084.31222622502,5084.31222622502
7597.98029125169,7694.1185319349,7694.1185319349
3997.5551275605,4118.68845430291,4118.68845430291
3798.67331683461,3938.9580011685,3938.9580011685
3275.19360749656,3413.3196552107,3413.3196552107
5158.71682417466,5266.98359730094,5266.98359730094
5337.4346594001,5459.24411733298,5459.24411733298
5330.17300144037,5449.77864000719,5449.77864000719
3316.4527032421,3458.16441457193,3458.16441457193
3950.69908012843,4069.26004292516,4069.26004292516
3873.75923833521,4003.59903808387,4003.59903808387
7000.69197323076,7108.09136014264,7108.09136014264
8405.53735291663,8487.51939394859,8487.51939394859
4824.13882102119,4939.2673108057,4939.2673108057
3318.61646271309,3450.92149621858,3450.92149621858
4399.89847677224,4518.4037448895,4518.4037448895
3540.73495356301,3687.21037388091,3687.21037388091
4806.94858144468,4933.97987235542,4933.97987235542
4234.10911778686,4354.52953428078,4354.52953428078
6899.0272937408,7008.040564264,7008.040564264
3245.84010574344,3393.05351101029,3393.05351101029
3279.95861411776,3408.45730843011,3408.45730843011
5749.79422198126,5850.50837653172,5850.50837653172
7164.66365634254,7260.09831270316,7260.09831270316
5935.43445603139,6033.828012785,6033.828012785
3684.40902088237,3823.53966640831,3823.53966640831
5775.18676189651,5897.64158073763,5897.64158073763
3321.36353735532,3446.09806711051,3446.09806711051
4927.2832086239,5055.34995563163,5055.34995563163
5650.79963693592,5751.67440985523,5751.67440985523
3633.50282979325,3764.33085787975,3764.33085787975
5414.87883953606,5531.01701944726,5531.01701944726
4164.27778567265,4296.26509425962,4296.26509425962
7011.45812485815,7104.88117228654,7104.88117228654
3299.96847849612,3439.72512497938,3439.72512497938
3605.76043706525,3748.39006322732,3748.39006322732
3543.54720359641,3681.63732840013,3681.63732840013
3249.03930641068,3381.77899260167,3381.77899260167
3612.62390144269,3741.89742770444,3741.89742770444
5334.37884740171,5456.13534438836,5456.13534438836
3523.60851767119,3662.30855590901,3662.30855590901
3306.86543701941,3456.76722224421,3456.76722224421
3406.3996155398,3545.10189148673,3545.10189148673
3870.49528840861,3993.3110021661,3993.3110021661
9738.91354598422,9809.57994070043,9809.57994070043
9830.78084396383,9885.30604059112,9885.30604059112
4878.62927290904,4990.73179328784,4990.73179328784
6402.25281880289,6497.91682287744,6497.91682287744
3706.01335647657,3835.21844044117,3835.21844044117
3617.61793428716,3756.0286541859,3756.0286541859
5310.57631750809,5416.02740330932,5416.02740330932
5755.67833957339,5870.04051533564,5870.04051533564
3409.56430045713,3558.0982063383,3558.0982063383
7156.712160956,7255.33840168133,7255.33840168133
5581.85718379586,5688.40857211675,5688.40857211675
3626.72711225544,3755.07832174538,3755.07832174538
3341.53793134797,3467.13824544858,3467.13824544858
4156.62218315582,4293.15829986211,4293.15829986211
3247.51440130966,3386.3118535227,3386.3118535227
3917.44074972851,4040.12850659313,4040.12850659313
5322.00023677463,5449.04168612414,5449.04168612414
4235.21849378758,4351.92075858754,4351.92075858754
5682.22442014921,5802.66502506845,5802.66502506845
6473.07170005037,6569.30536740816,6569.30536740816
3877.97801960241,3997.7678466564,3997.7678466564
5168.71896955881,5288.14737171647,5288.14737171647
6080.68506746302,6172.63817306793,6172.63817306793
6522.49714301415,6619.81885246305,6619.81885246305
3252.36067618993,3396.87985393159,3396.87985393159
3633.86794710572,3752.159307086,3752.159307086
3497.57859853062,3617.53338045908,3617.53338045908
3480.65325761467,3610.10856930908,3610.10856930908
3608.52020026504,3745.96790883177,3745.96790883177
5374.69471635913,5482.90816750813,5482.90816750813
6954.37224778887,7059.38633745065,7059.38633745065
3879.83125675219,3999.69763820152,3999.69763820152
3257.13146179317,3400.64618955612,3400.64618955612
4764.59988718376,4881.69440164216,4881.69440164216
6397.14898948305,6489.95406632101,6489.95406632101
4025.47526618295,4160.48117521015,4160.48117521015
5237.21822556885,5364.6108278947,5364.6108278947
8828.07598681893,8894.94867911633,8894.94867911633
3343.82393258503,3467.37523729925,3467.37523729925
4089.58175756579,4230.17806364732,4230.17806364732
3289.52740550919,3413.25327468045,3413.25327468045
3332.34810102199,3469.2406416494,3469.2406416494
6494.84578257915,6596.10568449157,6596.10568449157
5315.75499296653,5436.30774385791,5436.30774385791
6018.72798687758,6115.54377094889,6115.54377094889
4003.42299061776,4129.69937670033,4129.69937670033
8789.30765664559,8858.48089535819,8858.48089535819
3794.9669914922,3938.5691750866,3938.5691750866
8105.2800601544,8176.53167555875,8176.53167555875
3325.01115407536,3467.40243593774,3467.40243593774
3472.39839839509,3598.89999482515,3598.89999482515
4650.08194482837,4772.54859820275,4772.54859820275
3334.05495917368,3474.49623181965,3474.49623181965
6177.52334223616,6278.06901025424,6278.06901025424
3265.92919909646,3400.11615208321,3400.11615208321
10617.2465103048,10671.9166834412,10671.9166834412
4923.33896363873,5053.72956493492,5053.72956493492
4387.76129592678,4502.91525318515,4502.91525318515
3624.55760187773,3762.69046233026,3762.69046233026
3263.97983168202,3398.87321834392,3398.87321834392
4170.94359780565,4302.4953040473,4302.4953040473
9048.53202402225,9113.13965038572,9113.13965038572
3664.30810198861,3809.3527190427,3809.3527190427
3249.88602983517,3388.94729520755,3388.94729520755
3651.29081647327,3794.47177276419,3794.47177276419
3250.38846659022,3377.65070423738,3377.65070423738
5503.15452552396,5602.97574466196,5602.97574466196
5027.23905355781,5151.04299379262,5151.04299379262
3676.01918635974,3805.56698413746,3805.56698413746
4898.8191168452,5007.35258819135,5007.35258819135
6854.50062040776,6937.93985402047,6937.93985402047
10292.2061408836,10360.3949852569,10360.3949852569
6187.51522456364,6284.20474659537,6284.20474659537
3296.38192461466,3446.24604207473,3446.24604207473
3283.16928610519,3423.7914339976,3423.7914339976
3898.62147031475,4030.30516820622,4030.30516820622
10531.2136825105,10580.0570108463,10580.0570108463
3522.91046455779,3657.70818844002,3657.70818844002
4535.32829199679,4669.90730504916,4669.90730504916
6830.55476070989,6917.2819241427,6917.2819241427
7240.84029760746,7325.46489783693,7325.46489783693
4714.91375798258,4844.0020794823,4844.0020794823
4048.70770373965,4181.51521252727,4181.51521252727
6034.12176378399,6134.11472198854,6134.11472198854
3720.8018680307,3842.75735712789,3842.75735712789
4026.61567522752,4157.39964750835,4157.39964750835
3779.45383778711,3920.67279608819,3920.67279608819
3420.49700674583,3568.7424159904,3568.7424159904
6487.66051536764,6575.89690388398,6575.89690388398
3310.21428388652,3457.13446357702,3457.13446357702
5590.04073918837,5697.4899489945,5697.4899489945
8317.54801731038,8387.08288111541,8387.08288111541
6264.54620059222,6374.26088874987,6374.26088874987
3799.17109456777,3931.03100490602,3931.03100490602
3241.95454246984,3367.14334712244,3367.14334712244
5448.03890050455,5561.63667919528,5561.63667919528
3247.27610915729,3369.50502401061,3369.50502401061
5261.46523351608,5376.40812696,5376.40812696
4297.64633305592,4408.28115982139,4408.28115982139
5132.6923559049,5240.55234431893,5240.55234431893
8087.8334568906,8185.64430470236,8185.64430470236
3283.73086575013,3424.40055692803,3424.40055692803
4432.107750826,4569.07784833377,4569.07784833377
3299.72150662013,3422.49195015017,3422.49195015017
8534.38952850673,8610.40670369782,8610.40670369782
4753.61328242173,4886.08973812443,4886.08973812443
4018.34246577159,4156.50976598456,4156.50976598456
5680.8650822474,5804.67302837244,5804.67302837244
5235.2868320625,5341.67294172253,5341.67294172253
6132.72297588264,6228.59617891163,6228.59617891163
4818.13722275263,4940.3462018072,4940.3462018072
3844.02819429379,3983.28074848192,3983.28074848192
3903.16464000248,4028.12624721956,4028.12624721956
3271.42371640858,3403.20593841558,3403.20593841558
3606.65817903993,3727.51189620742,3727.51189620742
6693.13180454467,6793.70309013614,6793.70309013614
3887.68773531667,4023.60186787025,4023.60186787025
